blockchain,date,created_safes
avalanche_c,2023-05-28,69
avalanche_c,2023-05-29,847
avalanche_c,2023-05-30,869
avalanche_c,2023-05-31,744
avalanche_c,2023-06-01,505
avalanche_c,2023-06-02,5
avalanche_c,2023-06-03,4
avalanche_c,2023-06-04,1
avalanche_c,2023-06-05,9
avalanche_c,2023-06-06,11
avalanche_c,2023-06-07,2421
avalanche_c,2023-06-08,418
avalanche_c,2023-06-09,82
avalanche_c,2023-06-10,45
avalanche_c,2023-06-11,25
avalanche_c,2023-06-12,18
bnb,2023-04-13,45
bnb,2023-04-14,52
bnb,2023-04-15,50
bnb,2023-04-16,50
bnb,2023-04-17,68
bnb,2023-04-18,50
bnb,2023-04-19,73
bnb,2023-04-20,54
bnb,2023-04-21,47
bnb,2023-04-22,47
bnb,2023-04-23,45
bnb,2023-04-24,63
bnb,2023-04-25,83
bnb,2023-04-26,52
bnb,2023-04-27,63
bnb,2023-04-28,67
bnb,2023-04-29,47
bnb,2023-04-30,41
bnb,2023-05-01,37
bnb,2023-05-02,78
bnb,2023-05-03,109
bnb,2023-05-04,227
bnb,2023-05-05,70
bnb,2023-05-06,46
bnb,2023-05-07,39
bnb,2023-05-08,43
bnb,2023-05-09,62
bnb,2023-05-10,143
bnb,2023-05-11,85
bnb,2023-05-12,71
bnb,2023-05-13,94
bnb,2023-05-14,75
bnb,2023-05-15,61
bnb,2023-05-16,90
bnb,2023-05-17,97
bnb,2023-05-18,43
bnb,2023-05-19,56
bnb,2023-05-20,41
bnb,2023-05-21,72
bnb,2023-05-22,46
bnb,2023-05-23,89
bnb,2023-05-24,99
bnb,2023-05-25,51
bnb,2023-05-26,58
bnb,2023-05-27,55
bnb,2023-05-28,26
bnb,2023-05-29,56
bnb,2023-05-30,54
bnb,2023-05-31,74
bnb,2023-06-01,48
bnb,2023-06-02,46
bnb,2023-06-03,33
bnb,2023-06-04,49
bnb,2023-06-05,78
bnb,2023-06-06,69
bnb,2023-06-07,189
bnb,2023-06-08,75
bnb,2023-06-09,68
bnb,2023-06-10,30
bnb,2023-06-11,37
bnb,2023-06-12,95
ethereum,2023-04-13,91
ethereum,2023-04-14,117
ethereum,2023-04-15,80
ethereum,2023-04-16,94
ethereum,2023-04-17,90
ethereum,2023-04-18,96
ethereum,2023-04-19,114
ethereum,2023-04-20,138
ethereum,2023-04-21,170
ethereum,2023-04-22,119
ethereum,2023-04-23,98
ethereum,2023-04-24,171
ethereum,2023-04-25,187
ethereum,2023-04-26,96
ethereum,2023-04-27,150
ethereum,2023-04-28,80
ethereum,2023-04-29,99
ethereum,2023-04-30,70
ethereum,2023-05-01,70
ethereum,2023-05-02,45
ethereum,2023-05-03,69
ethereum,2023-05-04,91
ethereum,2023-05-05,57
ethereum,2023-05-06,28
ethereum,2023-05-07,40
ethereum,2023-05-08,105
ethereum,2023-05-09,82
ethereum,2023-05-10,102
ethereum,2023-05-11,96
ethereum,2023-05-12,68
ethereum,2023-05-13,73
ethereum,2023-05-14,84
ethereum,2023-05-15,84
ethereum,2023-05-16,94
ethereum,2023-05-17,117
ethereum,2023-05-18,111
ethereum,2023-05-19,105
ethereum,2023-05-20,106
ethereum,2023-05-21,72
ethereum,2023-05-22,79
ethereum,2023-05-23,97
ethereum,2023-05-24,117
ethereum,2023-05-25,125
ethereum,2023-05-26,148
ethereum,2023-05-27,159
ethereum,2023-05-28,114
ethereum,2023-05-29,96
ethereum,2023-05-30,78
