blockchain,date,safe_txs
ethereum,2023-05-09 00:00:00.000 UTC,1369
ethereum,2023-05-10 00:00:00.000 UTC,1402
ethereum,2023-05-11 00:00:00.000 UTC,1337
ethereum,2023-05-12 00:00:00.000 UTC,1674
ethereum,2023-05-13 00:00:00.000 UTC,920
ethereum,2023-05-14 00:00:00.000 UTC,699
ethereum,2023-05-15 00:00:00.000 UTC,1750
ethereum,2023-05-16 00:00:00.000 UTC,1736
ethereum,2023-05-17 00:00:00.000 UTC,1602
ethereum,2023-05-18 00:00:00.000 UTC,1529
ethereum,2023-05-19 00:00:00.000 UTC,1532
ethereum,2023-05-20 00:00:00.000 UTC,914
ethereum,2023-05-21 00:00:00.000 UTC,926
ethereum,2023-05-22 00:00:00.000 UTC,1349
ethereum,2023-05-23 00:00:00.000 UTC,1726
ethereum,2023-05-24 00:00:00.000 UTC,1731
ethereum,2023-05-25 00:00:00.000 UTC,1617
ethereum,2023-05-26 00:00:00.000 UTC,1601
ethereum,2023-05-27 00:00:00.000 UTC,723
ethereum,2023-05-28 00:00:00.000 UTC,712
ethereum,2023-05-29 00:00:00.000 UTC,1364
ethereum,2023-05-30 00:00:00.000 UTC,1648
ethereum,2023-05-31 00:00:00.000 UTC,1931
ethereum,2023-06-01 00:00:00.000 UTC,1904
ethereum,2023-06-02 00:00:00.000 UTC,1784
ethereum,2023-06-03 00:00:00.000 UTC,746
ethereum,2023-06-04 00:00:00.000 UTC,737
ethereum,2023-06-05 00:00:00.000 UTC,1651
ethereum,2023-06-06 00:00:00.000 UTC,1709
ethereum,2023-06-07 00:00:00.000 UTC,1557
ethereum,2023-06-08 00:00:00.000 UTC,1455
ethereum,2023-06-09 00:00:00.000 UTC,1540
ethereum,2023-06-10 00:00:00.000 UTC,967
ethereum,2023-06-11 00:00:00.000 UTC,729
ethereum,2023-06-12 00:00:00.000 UTC,1780
ethereum,2023-06-13 00:00:00.000 UTC,1774
ethereum,2023-06-14 00:00:00.000 UTC,1630
ethereum,2023-06-15 00:00:00.000 UTC,2019
ethereum,2023-06-16 00:00:00.000 UTC,1357
ethereum,2023-06-17 00:00:00.000 UTC,645
ethereum,2023-06-18 00:00:00.000 UTC,629
ethereum,2023-06-19 00:00:00.000 UTC,1207
ethereum,2023-06-20 00:00:00.000 UTC,1619
ethereum,2023-06-21 00:00:00.000 UTC,1795
ethereum,2023-06-22 00:00:00.000 UTC,1480
ethereum,2023-06-23 00:00:00.000 UTC,1591
ethereum,2023-06-24 00:00:00.000 UTC,678
ethereum,2023-06-25 00:00:00.000 UTC,815
ethereum,2023-06-26 00:00:00.000 UTC,1607
ethereum,2023-06-27 00:00:00.000 UTC,1783
ethereum,2023-06-28 00:00:00.000 UTC,1471
ethereum,2023-06-29 00:00:00.000 UTC,1488
ethereum,2023-06-30 00:00:00.000 UTC,1943
ethereum,2023-07-01 00:00:00.000 UTC,951
ethereum,2023-07-02 00:00:00.000 UTC,799
ethereum,2023-07-03 00:00:00.000 UTC,1908
ethereum,2023-07-04 00:00:00.000 UTC,1574
ethereum,2023-07-05 00:00:00.000 UTC,1415
ethereum,2023-07-06 00:00:00.000 UTC,1580
ethereum,2023-07-07 00:00:00.000 UTC,1432
ethereum,2023-07-08 00:00:00.000 UTC,844
ethereum,2023-07-09 00:00:00.000 UTC,707
ethereum,2023-07-10 00:00:00.000 UTC,1615
ethereum,2023-07-11 00:00:00.000 UTC,1543
ethereum,2023-07-12 00:00:00.000 UTC,1806
ethereum,2023-07-13 00:00:00.000 UTC,1580
ethereum,2023-07-14 00:00:00.000 UTC,1566
ethereum,2023-07-15 00:00:00.000 UTC,831
ethereum,2023-07-16 00:00:00.000 UTC,786
ethereum,2023-07-17 00:00:00.000 UTC,1447
ethereum,2023-07-18 00:00:00.000 UTC,1485
ethereum,2023-07-19 00:00:00.000 UTC,1318
ethereum,2023-07-20 00:00:00.000 UTC,1347
ethereum,2023-07-21 00:00:00.000 UTC,1260
ethereum,2023-07-22 00:00:00.000 UTC,700
ethereum,2023-07-23 00:00:00.000 UTC,659
ethereum,2023-07-24 00:00:00.000 UTC,1349
ethereum,2023-07-25 00:00:00.000 UTC,1606
ethereum,2023-07-26 00:00:00.000 UTC,1626
ethereum,2023-07-27 00:00:00.000 UTC,1727
ethereum,2023-07-28 00:00:00.000 UTC,2333
ethereum,2023-07-29 00:00:00.000 UTC,1488
ethereum,2023-07-30 00:00:00.000 UTC,1543
ethereum,2023-07-31 00:00:00.000 UTC,2555
ethereum,2023-08-01 00:00:00.000 UTC,2233
ethereum,2023-08-02 00:00:00.000 UTC,2069
ethereum,2023-08-03 00:00:00.000 UTC,1765
ethereum,2023-08-04 00:00:00.000 UTC,1883
ethereum,2023-08-05 00:00:00.000 UTC,1065
ethereum,2023-08-06 00:00:00.000 UTC,958
ethereum,2023-08-07 00:00:00.000 UTC,1739
ethereum,2023-08-08 00:00:00.000 UTC,1655
ethereum,2023-08-09 00:00:00.000 UTC,1649
ethereum,2023-08-10 00:00:00.000 UTC,1527
ethereum,2023-08-11 00:00:00.000 UTC,1464
ethereum,2023-08-12 00:00:00.000 UTC,713
gnosis,2023-04-14 00:00:00.000 UTC,3031
gnosis,2023-04-15 00:00:00.000 UTC,3967
gnosis,2023-04-16 00:00:00.000 UTC,5019
gnosis,2023-04-17 00:00:00.000 UTC,6473
gnosis,2023-04-18 00:00:00.000 UTC,5732
gnosis,2023-04-19 00:00:00.000 UTC,4908
gnosis,2023-04-20 00:00:00.000 UTC,5958
gnosis,2023-04-21 00:00:00.000 UTC,3975
gnosis,2023-04-22 00:00:00.000 UTC,3596
gnosis,2023-04-23 00:00:00.000 UTC,3485
gnosis,2023-04-24 00:00:00.000 UTC,3715
gnosis,2023-04-25 00:00:00.000 UTC,3313
gnosis,2023-04-26 00:00:00.000 UTC,3394
gnosis,2023-04-27 00:00:00.000 UTC,1049
gnosis,2023-04-28 00:00:00.000 UTC,805
gnosis,2023-04-29 00:00:00.000 UTC,686
gnosis,2023-04-30 00:00:00.000 UTC,542
gnosis,2023-05-01 00:00:00.000 UTC,924
gnosis,2023-05-02 00:00:00.000 UTC,909
gnosis,2023-05-03 00:00:00.000 UTC,1353
gnosis,2023-05-04 00:00:00.000 UTC,696
gnosis,2023-05-05 00:00:00.000 UTC,847
gnosis,2023-05-06 00:00:00.000 UTC,459
gnosis,2023-05-07 00:00:00.000 UTC,832
gnosis,2023-05-08 00:00:00.000 UTC,666
gnosis,2023-05-09 00:00:00.000 UTC,518
gnosis,2023-05-10 00:00:00.000 UTC,634
gnosis,2023-05-11 00:00:00.000 UTC,664
gnosis,2023-05-12 00:00:00.000 UTC,792
gnosis,2023-05-13 00:00:00.000 UTC,548
gnosis,2023-05-14 00:00:00.000 UTC,1423
gnosis,2023-05-15 00:00:00.000 UTC,824
gnosis,2023-05-16 00:00:00.000 UTC,601
gnosis,2023-05-17 00:00:00.000 UTC,807
gnosis,2023-05-18 00:00:00.000 UTC,431
gnosis,2023-05-19 00:00:00.000 UTC,653
gnosis,2023-05-20 00:00:00.000 UTC,230
gnosis,2023-05-21 00:00:00.000 UTC,238
gnosis,2023-05-22 00:00:00.000 UTC,499
gnosis,2023-05-23 00:00:00.000 UTC,606
gnosis,2023-05-24 00:00:00.000 UTC,576
gnosis,2023-05-25 00:00:00.000 UTC,550
gnosis,2023-05-26 00:00:00.000 UTC,632
gnosis,2023-05-27 00:00:00.000 UTC,390
gnosis,2023-05-28 00:00:00.000 UTC,371
gnosis,2023-05-29 00:00:00.000 UTC,710
gnosis,2023-05-30 00:00:00.000 UTC,595
gnosis,2023-05-31 00:00:00.000 UTC,690
gnosis,2023-06-01 00:00:00.000 UTC,449
gnosis,2023-06-02 00:00:00.000 UTC,585
gnosis,2023-06-03 00:00:00.000 UTC,328
gnosis,2023-06-04 00:00:00.000 UTC,476
gnosis,2023-06-05 00:00:00.000 UTC,727
gnosis,2023-06-06 00:00:00.000 UTC,656
gnosis,2023-06-07 00:00:00.000 UTC,1315
gnosis,2023-06-08 00:00:00.000 UTC,724
gnosis,2023-06-09 00:00:00.000 UTC,727
gnosis,2023-06-10 00:00:00.000 UTC,400
